casino,month,year,table_games_win,slot_win,total_casino_win
GOLDEN NUGGET,April,2025,1987267,9080295,11067562
GOLDEN NUGGET,May,2025,1843187,10096808,11939995
GOLDEN NUGGET,June,2025,1756229,9840051,11596280
GOLDEN NUGGET,July,2025,2340509,10545925,12886434
GOLDEN NUGGET,August,2025,2711243,11738259,14449502
GOLDEN NUGGET,September,2025,1190016,8769478,9959494
GOLDEN NUGGET,October,2025,1935158,8812134,10747292
GOLDEN NUGGET,November,2025,2203702,8754869,10958571
GOLDEN NUGGET,December,2025,1803055,7951860,9754915
HARD ROCK ATLANTIC CITY,January,2022,12274012,22458669,34732681
HARD ROCK ATLANTIC CITY,February,2022,12072772,25324664,37397436
HARD ROCK ATLANTIC CITY,March,2022,12837080,26480171,39317251
HARD ROCK ATLANTIC CITY,April,2022,13180550,27410262,40590812
HARD ROCK ATLANTIC CITY,May,2022,11875583,29625904,41501487
HARD ROCK ATLANTIC CITY,June,2022,16009581,28547996,44557577
HARD ROCK ATLANTIC CITY,July,2022,17063188,35827283,52890471
HARD ROCK ATLANTIC CITY,August,2022,12113242,33693980,45807222
HARD ROCK ATLANTIC CITY,September,2022,13267918,30405985,43673903
HARD ROCK ATLANTIC CITY,October,2022,12545614,26412712,38958326
HARD ROCK ATLANTIC CITY,November,2022,10220064,25253650,35473714
HARD ROCK ATLANTIC CITY,December,2022,11497855,25953181,37451036
HARD ROCK ATLANTIC CITY,January,2023,10203988,25706054,35910042
HARD ROCK ATLANTIC CITY,February,2023,11217708,26293934,37511642
HARD ROCK ATLANTIC CITY,March,2023,11411440,28555943,39967383
HARD ROCK ATLANTIC CITY,April,2023,11497967,27304107,38802074
HARD ROCK ATLANTIC CITY,May,2023,10231389,28555432,38786821
HARD ROCK ATLANTIC CITY,June,2023,13345517,29952096,43297613
HARD ROCK ATLANTIC CITY,July,2023,15411368,37647900,53059268
HARD ROCK ATLANTIC CITY,August,2023,15688295,35032610,50720905
HARD ROCK ATLANTIC CITY,September,2023,12208092,34641540,46849632
HARD ROCK ATLANTIC CITY,October,2023,13356062,27877974,41234036
HARD ROCK ATLANTIC CITY,November,2023,13160320,28253358,41413678
HARD ROCK ATLANTIC CITY,December,2023,13279030,31611784,44890814
HARD ROCK ATLANTIC CITY,January,2024,10329846,26987155,37317001
HARD ROCK ATLANTIC CITY,February,2024,12966883,28149836,41116719
HARD ROCK ATLANTIC CITY,March,2024,14334100,30040630,44374730
HARD ROCK ATLANTIC CITY,April,2024,11955830,29175641,41131471
HARD ROCK ATLANTIC CITY,May,2024,16965056,32900023,49865079
HARD ROCK ATLANTIC CITY,June,2024,14512085,33906677,48418762
HARD ROCK ATLANTIC CITY,July,2024,15136386,39534589,54670975
HARD ROCK ATLANTIC CITY,August,2024,15311038,40065552,55376590
HARD ROCK ATLANTIC CITY,September,2024,12838101,31801060,44639161
HARD ROCK ATLANTIC CITY,October,2024,12342022,28499592,40841614
HARD ROCK ATLANTIC CITY,November,2024,13573466,30760313,44333779
HARD ROCK ATLANTIC CITY,December,2024,13066813,29780709,42847522
HARD ROCK ATLANTIC CITY,January,2025,12452894,25606567,38059461
HARD ROCK ATLANTIC CITY,February,2025,12919485,28953817,41873302
HARD ROCK ATLANTIC CITY,March,2025,14081989,30382586,44464575
HARD ROCK ATLANTIC CITY,April,2025,13121928,28424171,41546099
HARD ROCK ATLANTIC CITY,May,2025,15493639,36456461,51950100
HARD ROCK ATLANTIC CITY,June,2025,12724633,33052665,45777298
HARD ROCK ATLANTIC CITY,July,2025,15199013,39921572,55120585
HARD ROCK ATLANTIC CITY,August,2025,17559924,40764134,58324058
