casino,month,year,monthly_retail_sports_win,monthly_internet_sports_win,total_sports_win
BORGATA HOTEL CASINO & SPA,September,2025,3433953,855166,4289119
BORGATA HOTEL CASINO & SPA,October,2025,472494,945757,1418251
BORGATA HOTEL CASINO & SPA,November,2025,411859,1420709,1832568
BORGATA HOTEL CASINO & SPA,December,2025,10323,121669,131992
BORGATA HOTEL CASINO & SPA,January,2022,,7439438,7439438
BORGATA HOTEL CASINO & SPA,February,2022,,5325111,5325111
BORGATA HOTEL CASINO & SPA,March,2022,954283,9651893,10606176
BORGATA HOTEL CASINO & SPA,April,2022,83985,4432022,4516007
BORGATA HOTEL CASINO & SPA,May,2022,,7721889,7721889
BORGATA HOTEL CASINO & SPA,June,2022,202393,4600891,4803284
BORGATA HOTEL CASINO & SPA,July,2022,912192,5288053,6200245
BORGATA HOTEL CASINO & SPA,August,2022,325560,7318650,7644210
BORGATA HOTEL CASINO & SPA,September,2022,1879182,8144066,10023248
BORGATA HOTEL CASINO & SPA,October,2022,963945,8543432,9507377
BORGATA HOTEL CASINO & SPA,November,2022,1017383,8690904,9708287
BORGATA HOTEL CASINO & SPA,December,2022,100745,9370866,9471611
CAESARS ATLANTIC CITY,January,2022,139946,,139946
CAESARS ATLANTIC CITY,February,2022,198692,,198692
CAESARS ATLANTIC CITY,March,2022,70009,,70009
CAESARS ATLANTIC CITY,April,2022,,,0
CAESARS ATLANTIC CITY,May,2022,1737,,1737
CAESARS ATLANTIC CITY,June,2022,175601,,175601
CAESARS ATLANTIC CITY,July,2022,16147,,16147
CAESARS ATLANTIC CITY,August,2022,82375,,82375
CAESARS ATLANTIC CITY,September,2022,1051230,,1051230
CAESARS ATLANTIC CITY,October,2022,123353,,123353
CAESARS ATLANTIC CITY,November,2022,526834,,526834
CAESARS ATLANTIC CITY,December,2022,293730,,293730
CAESARS ATLANTIC CITY,January,2023,50401,,50401
CAESARS ATLANTIC CITY,February,2023,61034,,61034
CAESARS ATLANTIC CITY,March,2023,75454,,75454
CAESARS ATLANTIC CITY,April,2023,32827,,32827
CAESARS ATLANTIC CITY,May,2023,4190,,4190
CAESARS ATLANTIC CITY,June,2023,385,,385
CAESARS ATLANTIC CITY,July,2023,18364,,18364
CAESARS ATLANTIC CITY,August,2023,3780,,3780
CAESARS ATLANTIC CITY,September,2023,34758,,34758
CAESARS ATLANTIC CITY,October,2023,74319,,74319
